日時,ログオン ユーザー名,種類,詳細 2,防止・禁止
2026-04-01 08:01:00,user001,Web アクセス監視,https://intranet.local/portal,
2026-04-01 16:40:00,user001,Web アクセス監視,https://chatgpt.com/chat,
2026-04-01 13:00:00,user001,デバイス制御監視,,禁止
2026-04-01 09:02:00,user002,Web アクセス監視,https://youtube.com/watch,
2026-04-01 09:21:00,user002,Web アクセス監視,https://chatgpt.com/chat,
2026-04-01 14:53:00,user002,Web アクセス監視,https://intranet.local/portal,
2026-04-01 14:19:00,user002,Web アクセス監視,https://amazon.co.jp/item,
2026-04-01 16:08:00,user002,Web アクセス監視,https://chatgpt.com/chat,
2026-04-01 13:52:00,user002,Web アクセス監視,https://amazon.co.jp/item,
2026-04-01 14:53:00,user003,Web アクセス監視,https://www.google.com/search,
2026-04-01 10:32:00,user003,Web アクセス監視,https://x.com/post,
2026-04-01 14:36:00,user003,Web アクセス監視,https://youtube.com/watch,
2026-04-01 11:51:00,user004,Web アクセス監視,https://x.com/post,
2026-04-01 14:23:00,user004,Web アクセス監視,https://drive.google.com/file,
2026-04-01 08:31:00,user004,Web アクセス監視,https://intranet.local/portal,
2026-04-01 16:36:00,user005,Web アクセス監視,https://intranet.local/portal,
2026-04-01 11:26:00,user005,Web アクセス監視,https://gigafile.nu/abc,
2026-04-01 14:03:00,user005,Web アクセス監視,https://intranet.local/portal,
2026-04-01 08:52:00,user005,Web アクセス監視,https://chatgpt.com/chat,
2026-04-01 12:42:00,user006,Web アクセス監視,https://drive.google.com/file,
2026-04-01 14:18:00,user006,Web アクセス監視,https://intranet.local/portal,
2026-04-01 11:49:00,user006,Web アクセス監視,https://drive.google.com/file,
2026-04-01 15:19:00,user006,Web アクセス監視,https://gigafile.nu/abc,
2026-04-01 18:37:00,user007,Web アクセス監視,https://x.com/post,
2026-04-01 09:12:00,user007,Web アクセス監視,https://gigafile.nu/abc,
2026-04-01 09:28:00,user007,Web アクセス監視,https://gigafile.nu/abc,
2026-04-01 08:33:00,user008,Web アクセス監視,https://youtube.com/watch,
2026-04-01 16:29:00,user008,Web アクセス監視,https://x.com/post,
2026-04-01 13:00:00,user008,デバイス制御監視,,禁止
2026-04-01 13:38:00,user009,Web アクセス監視,https://youtube.com/watch,
2026-04-01 12:23:00,user009,Web アクセス監視,https://chatgpt.com/chat,
2026-04-01 16:21:00,user009,Web アクセス監視,https://drive.google.com/file,
2026-04-01 13:51:00,user009,Web アクセス監視,https://youtube.com/watch,
2026-04-01 10:39:00,user009,Web アクセス監視,https://chatgpt.com/chat,
2026-04-01 14:27:00,user009,Web アクセス監視,https://x.com/post,
2026-04-01 11:36:00,user010,Web アクセス監視,https://www.google.com/search,
2026-04-01 16:06:00,user010,Web アクセス監視,https://youtube.com/watch,
2026-04-01 13:11:00,user010,Web アクセス監視,https://x.com/post,
2026-04-01 12:39:00,user011,Web アクセス監視,https://gigafile.nu/abc,
2026-04-01 18:37:00,user011,Web アクセス監視,https://chatgpt.com/chat,
2026-04-01 16:38:00,user011,Web アクセス監視,https://intranet.local/portal,
2026-04-01 18:20:00,user011,Web アクセス監視,https://drive.google.com/file,
2026-04-01 16:41:00,user011,Web アクセス監視,https://intranet.local/portal,
2026-04-01 10:19:00,user011,Web アクセス監視,https://x.com/post,
2026-04-01 12:32:00,user012,Web アクセス監視,https://x.com/post,
2026-04-01 16:33:00,user012,Web アクセス監視,https://chatgpt.com/chat,
2026-04-01 12:25:00,user012,Web アクセス監視,https://gigafile.nu/abc,
2026-04-01 15:20:00,user013,Web アクセス監視,https://youtube.com/watch,
2026-04-01 14:33:00,user013,Web アクセス監視,https://drive.google.com/file,
2026-04-01 16:49:00,user013,Web アクセス監視,https://youtube.com/watch,
2026-04-01 15:15:00,user013,Web アクセス監視,https://chatgpt.com/chat,
2026-04-01 11:05:00,user013,Web アクセス監視,https://drive.google.com/file,
2026-04-01 13:52:00,user013,Web アクセス監視,https://youtube.com/watch,
2026-04-01 13:00:00,user013,デバイス制御監視,,禁止
2026-04-01 16:04:00,user014,Web アクセス監視,https://amazon.co.jp/item,
2026-04-01 13:36:00,user014,Web アクセス監視,https://amazon.co.jp/item,
2026-04-01 16:43:00,user014,Web アクセス監視,https://intranet.local/portal,
2026-04-01 15:00:00,user014,Web アクセス監視,https://youtube.com/watch,
2026-04-01 09:57:00,user014,Web アクセス監視,https://x.com/post,
2026-04-01 09:06:00,user015,Web アクセス監視,https://www.google.com/search,
2026-04-01 15:16:00,user015,Web アクセス監視,https://intranet.local/portal,
2026-04-01 16:39:00,user015,Web アクセス監視,https://x.com/post,
2026-04-02 17:56:00,user001,Web アクセス監視,https://amazon.co.jp/item,
2026-04-02 18:54:00,user001,Web アクセス監視,https://drive.google.com/file,
2026-04-02 13:37:00,user001,Web アクセス監視,https://drive.google.com/file,
2026-04-02 10:02:00,user001,Web アクセス監視,https://gigafile.nu/abc,
2026-04-02 09:11:00,user001,Web アクセス監視,https://drive.google.com/file,
2026-04-02 10:58:00,user002,Web アクセス監視,https://chatgpt.com/chat,
2026-04-02 18:27:00,user002,Web アクセス監視,https://drive.google.com/file,
2026-04-02 08:28:00,user002,Web アクセス監視,https://www.google.com/search,
2026-04-02 18:57:00,user003,Web アクセス監視,https://drive.google.com/file,
2026-04-02 13:56:00,user003,Web アクセス監視,https://chatgpt.com/chat,
2026-04-02 11:39:00,user003,Web アクセス監視,https://youtube.com/watch,
2026-04-02 16:14:00,user004,Web アクセス監視,https://intranet.local/portal,
2026-04-02 16:34:00,user004,Web アクセス監視,https://drive.google.com/file,
2026-04-02 08:39:00,user004,Web アクセス監視,https://www.google.com/search,
2026-04-02 16:42:00,user005,Web アクセス監視,https://intranet.local/portal,
2026-04-02 09:17:00,user005,Web アクセス監視,https://amazon.co.jp/item,
2026-04-02 18:49:00,user006,Web アクセス監視,https://gigafile.nu/abc,
2026-04-02 09:00:00,user006,Web アクセス監視,https://youtube.com/watch,
2026-04-02 15:05:00,user006,Web アクセス監視,https://drive.google.com/file,
2026-04-02 10:46:00,user006,Web アクセス監視,https://gigafile.nu/abc,
2026-04-02 16:07:00,user007,Web アクセス監視,https://intranet.local/portal,
2026-04-02 16:21:00,user007,Web アクセス監視,https://intranet.local/portal,
2026-04-02 14:10:00,user007,Web アクセス監視,https://gigafile.nu/abc,
2026-04-02 15:14:00,user008,Web アクセス監視,https://amazon.co.jp/item,
2026-04-02 12:05:00,user008,Web アクセス監視,https://chatgpt.com/chat,
2026-04-02 11:53:00,user008,Web アクセス監視,https://chatgpt.com/chat,
2026-04-02 14:09:00,user008,Web アクセス監視,https://youtube.com/watch,
2026-04-02 15:26:00,user008,Web アクセス監視,https://chatgpt.com/chat,
2026-04-02 15:44:00,user009,Web アクセス監視,https://youtube.com/watch,
2026-04-02 13:51:00,user009,Web アクセス監視,https://youtube.com/watch,
2026-04-02 10:38:00,user009,Web アクセス監視,https://intranet.local/portal,
2026-04-02 08:06:00,user009,Web アクセス監視,https://x.com/post,
2026-04-02 11:06:00,user009,Web アクセス監視,https://amazon.co.jp/item,
2026-04-02 10:02:00,user010,Web アクセス監視,https://intranet.local/portal,
2026-04-02 08:30:00,user010,Web アクセス監視,https://gigafile.nu/abc,
2026-04-02 15:25:00,user010,Web アクセス監視,https://youtube.com/watch,
2026-04-02 09:18:00,user011,Web アクセス監視,https://www.google.com/search,
2026-04-02 08:25:00,user011,Web アクセス監視,https://www.google.com/search,
2026-04-02 09:17:00,user011,Web アクセス監視,https://amazon.co.jp/item,
2026-04-02 08:20:00,user011,Web アクセス監視,https://gigafile.nu/abc,
2026-04-02 15:39:00,user011,Web アクセス監視,https://intranet.local/portal,
2026-04-02 18:18:00,user012,Web アクセス監視,https://www.google.com/search,
2026-04-02 08:37:00,user012,Web アクセス監視,https://www.google.com/search,
2026-04-02 11:31:00,user013,Web アクセス監視,https://intranet.local/portal,
2026-04-02 08:26:00,user013,Web アクセス監視,https://chatgpt.com/chat,
2026-04-02 16:48:00,user013,Web アクセス監視,https://x.com/post,
2026-04-02 17:11:00,user013,Web アクセス監視,https://intranet.local/portal,
2026-04-02 12:42:00,user013,Web アクセス監視,https://gigafile.nu/abc,
2026-04-02 12:20:00,user014,Web アクセス監視,https://intranet.local/portal,
2026-04-02 08:01:00,user014,Web アクセス監視,https://drive.google.com/file,
2026-04-02 10:24:00,user014,Web アクセス監視,https://gigafile.nu/abc,
2026-04-02 13:18:00,user015,Web アクセス監視,https://youtube.com/watch,
2026-04-02 12:21:00,user015,Web アクセス監視,https://chatgpt.com/chat,
2026-04-02 09:06:00,user015,Web アクセス監視,https://gigafile.nu/abc,
2026-04-02 16:46:00,user015,Web アクセス監視,https://amazon.co.jp/item,
2026-04-02 13:17:00,user015,Web アクセス監視,https://intranet.local/portal,
2026-04-02 15:01:00,user015,Web アクセス監視,https://amazon.co.jp/item,
2026-04-03 11:06:00,user001,Web アクセス監視,https://chatgpt.com/chat,
2026-04-03 10:50:00,user001,Web アクセス監視,https://amazon.co.jp/item,
2026-04-03 15:13:00,user001,Web アクセス監視,https://gigafile.nu/abc,
2026-04-03 13:47:00,user001,Web アクセス監視,https://drive.google.com/file,
2026-04-03 08:18:00,user002,Web アクセス監視,https://amazon.co.jp/item,
2026-04-03 13:08:00,user002,Web アクセス監視,https://intranet.local/portal,
2026-04-03 15:58:00,user002,Web アクセス監視,https://drive.google.com/file,
2026-04-03 14:06:00,user002,Web アクセス監視,https://www.google.com/search,
2026-04-03 13:32:00,user002,Web アクセス監視,https://youtube.com/watch,
2026-04-03 11:11:00,user002,Web アクセス監視,https://chatgpt.com/chat,
2026-04-03 08:21:00,user003,Web アクセス監視,https://amazon.co.jp/item,
2026-04-03 10:17:00,user003,Web アクセス監視,https://www.google.com/search,
2026-04-03 15:48:00,user004,Web アクセス監視,https://gigafile.nu/abc,
2026-04-03 16:58:00,user004,Web アクセス監視,https://drive.google.com/file,
2026-04-03 14:01:00,user004,Web アクセス監視,https://x.com/post,
2026-04-03 10:11:00,user004,Web アクセス監視,https://gigafile.nu/abc,
2026-04-03 08:00:00,user004,Web アクセス監視,https://drive.google.com/file,
2026-04-03 10:34:00,user004,Web アクセス監視,https://x.com/post,
2026-04-03 17:49:00,user005,Web アクセス監視,https://gigafile.nu/abc,
2026-04-03 14:28:00,user005,Web アクセス監視,https://chatgpt.com/chat,
2026-04-03 17:35:00,user006,Web アクセス監視,https://gigafile.nu/abc,
2026-04-03 11:58:00,user006,Web アクセス監視,https://drive.google.com/file,
2026-04-03 15:21:00,user006,Web アクセス監視,https://intranet.local/portal,
2026-04-03 08:43:00,user006,Web アクセス監視,https://x.com/post,
2026-04-03 12:56:00,user006,Web アクセス監視,https://chatgpt.com/chat,
2026-04-03 16:54:00,user007,Web アクセス監視,https://gigafile.nu/abc,
2026-04-03 12:15:00,user007,Web アクセス監視,https://youtube.com/watch,
2026-04-03 13:07:00,user007,Web アクセス監視,https://youtube.com/watch,
2026-04-03 13:25:00,user007,Web アクセス監視,https://x.com/post,
2026-04-03 10:22:00,user008,Web アクセス監視,https://intranet.local/portal,
2026-04-03 18:27:00,user008,Web アクセス監視,https://intranet.local/portal,
2026-04-03 14:36:00,user008,Web アクセス監視,https://www.google.com/search,
2026-04-03 15:51:00,user008,Web アクセス監視,https://amazon.co.jp/item,
2026-04-03 16:21:00,user008,Web アクセス監視,https://gigafile.nu/abc,
2026-04-03 15:01:00,user008,Web アクセス監視,https://drive.google.com/file,
2026-04-03 15:30:00,user009,Web アクセス監視,https://youtube.com/watch,
2026-04-03 09:24:00,user009,Web アクセス監視,https://intranet.local/portal,
2026-04-03 12:44:00,user010,Web アクセス監視,https://intranet.local/portal,
2026-04-03 12:08:00,user010,Web アクセス監視,https://youtube.com/watch,
2026-04-03 16:34:00,user010,Web アクセス監視,https://gigafile.nu/abc,
2026-04-03 13:00:00,user010,デバイス制御監視,,禁止
2026-04-03 18:46:00,user011,Web アクセス監視,https://chatgpt.com/chat,
2026-04-03 16:44:00,user011,Web アクセス監視,https://youtube.com/watch,
2026-04-03 15:16:00,user011,Web アクセス監視,https://gigafile.nu/abc,
2026-04-03 18:04:00,user011,Web アクセス監視,https://amazon.co.jp/item,
2026-04-03 17:59:00,user011,Web アクセス監視,https://x.com/post,
2026-04-03 16:32:00,user012,Web アクセス監視,https://x.com/post,
2026-04-03 16:08:00,user012,Web アクセス監視,https://www.google.com/search,
2026-04-03 08:47:00,user012,Web アクセス監視,https://intranet.local/portal,
2026-04-03 11:48:00,user012,Web アクセス監視,https://drive.google.com/file,
2026-04-03 16:05:00,user013,Web アクセス監視,https://youtube.com/watch,
2026-04-03 16:57:00,user013,Web アクセス監視,https://www.google.com/search,
2026-04-03 10:08:00,user013,Web アクセス監視,https://youtube.com/watch,
2026-04-03 09:08:00,user013,Web アクセス監視,https://chatgpt.com/chat,
2026-04-03 14:56:00,user013,Web アクセス監視,https://amazon.co.jp/item,
2026-04-03 18:30:00,user014,Web アクセス監視,https://intranet.local/portal,
2026-04-03 18:48:00,user014,Web アクセス監視,https://x.com/post,
2026-04-03 09:11:00,user015,Web アクセス監視,https://intranet.local/portal,
2026-04-03 13:17:00,user015,Web アクセス監視,https://intranet.local/portal,
2026-04-03 14:29:00,user015,Web アクセス監視,https://amazon.co.jp/item,
2026-04-03 17:27:00,user015,Web アクセス監視,https://chatgpt.com/chat,
2026-04-03 09:54:00,user015,Web アクセス監視,https://gigafile.nu/abc,
2026-04-03 18:24:00,user015,Web アクセス監視,https://chatgpt.com/chat,
2026-04-04 12:45:00,user001,Web アクセス監視,https://gigafile.nu/abc,
2026-04-04 17:01:00,user001,Web アクセス監視,https://chatgpt.com/chat,
2026-04-04 13:30:00,user001,Web アクセス監視,https://intranet.local/portal,
2026-04-04 08:29:00,user001,Web アクセス監視,https://www.google.com/search,
2026-04-04 16:43:00,user002,Web アクセス監視,https://x.com/post,
2026-04-04 13:08:00,user002,Web アクセス監視,https://gigafile.nu/abc,
2026-04-04 12:28:00,user002,Web アクセス監視,https://amazon.co.jp/item,
2026-04-04 08:02:00,user002,Web アクセス監視,https://gigafile.nu/abc,
2026-04-04 11:13:00,user003,Web アクセス監視,https://drive.google.com/file,
2026-04-04 09:49:00,user003,Web アクセス監視,https://intranet.local/portal,
2026-04-04 10:07:00,user003,Web アクセス監視,https://drive.google.com/file,
2026-04-04 13:15:00,user003,Web アクセス監視,https://amazon.co.jp/item,
2026-04-04 18:50:00,user004,Web アクセス監視,https://youtube.com/watch,
2026-04-04 08:40:00,user004,Web アクセス監視,https://chatgpt.com/chat,
2026-04-04 10:23:00,user004,Web アクセス監視,https://youtube.com/watch,
2026-04-04 16:21:00,user004,Web アクセス監視,https://intranet.local/portal,
2026-04-04 09:35:00,user004,Web アクセス監視,https://x.com/post,
2026-04-04 14:50:00,user004,Web アクセス監視,https://drive.google.com/file,
2026-04-04 12:17:00,user005,Web アクセス監視,https://www.google.com/search,
2026-04-04 18:14:00,user005,Web アクセス監視,https://drive.google.com/file,
2026-04-04 18:28:00,user006,Web アクセス監視,https://www.google.com/search,
2026-04-04 10:37:00,user006,Web アクセス監視,https://chatgpt.com/chat,
2026-04-04 12:10:00,user007,Web アクセス監視,https://youtube.com/watch,
2026-04-04 08:03:00,user007,Web アクセス監視,https://drive.google.com/file,
2026-04-04 16:49:00,user007,Web アクセス監視,https://gigafile.nu/abc,
2026-04-04 13:00:00,user007,デバイス制御監視,,禁止
2026-04-04 13:02:00,user008,Web アクセス監視,https://gigafile.nu/abc,
2026-04-04 15:54:00,user008,Web アクセス監視,https://www.google.com/search,
2026-04-04 17:54:00,user009,Web アクセス監視,https://amazon.co.jp/item,
2026-04-04 09:16:00,user009,Web アクセス監視,https://intranet.local/portal,
2026-04-04 14:12:00,user009,Web アクセス監視,https://drive.google.com/file,
2026-04-04 17:29:00,user010,Web アクセス監視,https://amazon.co.jp/item,
2026-04-04 11:52:00,user010,Web アクセス監視,https://drive.google.com/file,
2026-04-04 17:48:00,user011,Web アクセス監視,https://x.com/post,
2026-04-04 18:35:00,user011,Web アクセス監視,https://amazon.co.jp/item,
2026-04-04 15:17:00,user011,Web アクセス監視,https://chatgpt.com/chat,
2026-04-04 10:11:00,user011,Web アクセス監視,https://drive.google.com/file,
2026-04-04 14:11:00,user011,Web アクセス監視,https://amazon.co.jp/item,
2026-04-04 11:04:00,user011,Web アクセス監視,https://intranet.local/portal,
2026-04-04 14:28:00,user012,Web アクセス監視,https://amazon.co.jp/item,
2026-04-04 14:00:00,user012,Web アクセス監視,https://youtube.com/watch,
2026-04-04 11:35:00,user012,Web アクセス監視,https://amazon.co.jp/item,
2026-04-04 10:07:00,user013,Web アクセス監視,https://gigafile.nu/abc,
2026-04-04 08:10:00,user013,Web アクセス監視,https://youtube.com/watch,
2026-04-04 10:35:00,user013,Web アクセス監視,https://drive.google.com/file,
2026-04-04 08:13:00,user013,Web アクセス監視,https://www.google.com/search,
2026-04-04 15:52:00,user014,Web アクセス監視,https://x.com/post,
2026-04-04 14:22:00,user014,Web アクセス監視,https://x.com/post,
2026-04-04 17:05:00,user014,Web アクセス監視,https://drive.google.com/file,
2026-04-04 15:40:00,user014,Web アクセス監視,https://gigafile.nu/abc,
2026-04-04 09:35:00,user014,Web アクセス監視,https://www.google.com/search,
2026-04-04 10:43:00,user015,Web アクセス監視,https://youtube.com/watch,
2026-04-04 13:45:00,user015,Web アクセス監視,https://gigafile.nu/abc,
2026-04-04 08:24:00,user015,Web アクセス監視,https://youtube.com/watch,
2026-04-04 17:23:00,user015,Web アクセス監視,https://amazon.co.jp/item,
2026-04-05 17:10:00,user001,Web アクセス監視,https://drive.google.com/file,
2026-04-05 17:27:00,user001,Web アクセス監視,https://drive.google.com/file,
2026-04-05 18:16:00,user001,Web アクセス監視,https://gigafile.nu/abc,
2026-04-05 18:35:00,user001,Web アクセス監視,https://gigafile.nu/abc,
2026-04-05 17:55:00,user001,Web アクセス監視,https://youtube.com/watch,
2026-04-05 11:02:00,user001,Web アクセス監視,https://amazon.co.jp/item,
2026-04-05 17:10:00,user002,Web アクセス監視,https://youtube.com/watch,
2026-04-05 13:04:00,user002,Web アクセス監視,https://youtube.com/watch,
2026-04-05 12:43:00,user002,Web アクセス監視,https://gigafile.nu/abc,
2026-04-05 11:30:00,user002,Web アクセス監視,https://gigafile.nu/abc,
2026-04-05 15:30:00,user002,Web アクセス監視,https://gigafile.nu/abc,
2026-04-05 09:58:00,user003,Web アクセス監視,https://drive.google.com/file,
2026-04-05 09:59:00,user003,Web アクセス監視,https://intranet.local/portal,
2026-04-05 15:40:00,user004,Web アクセス監視,https://www.google.com/search,
2026-04-05 10:04:00,user004,Web アクセス監視,https://amazon.co.jp/item,
2026-04-05 12:27:00,user004,Web アクセス監視,https://intranet.local/portal,
2026-04-05 10:55:00,user004,Web アクセス監視,https://x.com/post,
2026-04-05 09:21:00,user004,Web アクセス監視,https://intranet.local/portal,
2026-04-05 13:00:00,user004,デバイス制御監視,,禁止
2026-04-05 09:14:00,user005,Web アクセス監視,https://gigafile.nu/abc,
2026-04-05 18:33:00,user005,Web アクセス監視,https://youtube.com/watch,
2026-04-05 14:34:00,user005,Web アクセス監視,https://youtube.com/watch,
2026-04-05 08:59:00,user005,Web アクセス監視,https://intranet.local/portal,
2026-04-05 15:58:00,user006,Web アクセス監視,https://intranet.local/portal,
2026-04-05 13:56:00,user006,Web アクセス監視,https://chatgpt.com/chat,
2026-04-05 08:45:00,user006,Web アクセス監視,https://x.com/post,
2026-04-05 18:10:00,user006,Web アクセス監視,https://amazon.co.jp/item,
2026-04-05 15:39:00,user006,Web アクセス監視,https://intranet.local/portal,
2026-04-05 09:09:00,user006,Web アクセス監視,https://amazon.co.jp/item,
2026-04-05 11:46:00,user007,Web アクセス監視,https://chatgpt.com/chat,
