日時,ログオン ユーザー名,種類,詳細 2,防止・禁止
2026-05-01 18:27:00,user001,Web アクセス監視,https://www.google.com/search,
2026-05-01 09:02:00,user001,Web アクセス監視,https://gigafile.nu/abc,
2026-05-01 12:23:00,user001,Web アクセス監視,https://youtube.com/watch,
2026-05-01 13:06:00,user001,Web アクセス監視,https://gigafile.nu/abc,
2026-05-01 09:23:00,user002,Web アクセス監視,https://amazon.co.jp/item,
2026-05-01 09:02:00,user002,Web アクセス監視,https://www.google.com/search,
2026-05-01 13:43:00,user003,Web アクセス監視,https://amazon.co.jp/item,
2026-05-01 08:47:00,user003,Web アクセス監視,https://youtube.com/watch,
2026-05-01 10:57:00,user003,Web アクセス監視,https://amazon.co.jp/item,
2026-05-01 12:43:00,user004,Web アクセス監視,https://x.com/post,
2026-05-01 16:17:00,user004,Web アクセス監視,https://amazon.co.jp/item,
2026-05-01 09:14:00,user005,Web アクセス監視,https://x.com/post,
2026-05-01 17:24:00,user005,Web アクセス監視,https://youtube.com/watch,
2026-05-01 12:23:00,user005,Web アクセス監視,https://www.google.com/search,
2026-05-01 14:28:00,user005,Web アクセス監視,https://chatgpt.com/chat,
2026-05-01 17:50:00,user005,Web アクセス監視,https://chatgpt.com/chat,
2026-05-01 13:00:00,user005,デバイス制御監視,,禁止
2026-05-01 10:25:00,user006,Web アクセス監視,https://gigafile.nu/abc,
2026-05-01 08:04:00,user006,Web アクセス監視,https://x.com/post,
2026-05-01 17:45:00,user006,Web アクセス監視,https://x.com/post,
2026-05-01 18:56:00,user006,Web アクセス監視,https://chatgpt.com/chat,
2026-05-01 12:38:00,user006,Web アクセス監視,https://intranet.local/portal,
2026-05-01 09:34:00,user006,Web アクセス監視,https://www.google.com/search,
2026-05-01 17:50:00,user007,Web アクセス監視,https://gigafile.nu/abc,
2026-05-01 12:23:00,user007,Web アクセス監視,https://gigafile.nu/abc,
2026-05-01 15:47:00,user007,Web アクセス監視,https://drive.google.com/file,
2026-05-01 14:43:00,user007,Web アクセス監視,https://x.com/post,
2026-05-01 17:32:00,user007,Web アクセス監視,https://amazon.co.jp/item,
2026-05-01 13:00:00,user007,デバイス制御監視,,禁止
2026-05-01 15:45:00,user008,Web アクセス監視,https://chatgpt.com/chat,
